386	19	301	420
387	19	75	78
388	19	21	335
389	19	48	115
390	19	48	115
391	19	316	114
392	19	316	114
393	19	41	95
394	19	21	335
395	19	228	150
396	19	41	95
397	19	48	115
398	19	21	335
399	19	21	335
400	19	18	420
401	19	48	115
402	19	48	115
403	19	232	50
404	19	232	50
405	19	232	50
406	19	38	200
407	19	48	115
408	19	232	50
409	19	232	50
410	19	301	420
411	19	18	420
412	19	40	79
413	19	21	335
414	19	6	644
415	19	316	114
416	19	60	380
417	19	301	420
418	19	301	420
419	19	316	114
420	19	18	420
421	19	18	420
422	19	41	95
423	19	232	50
424	19	48	115
425	19	301	420
426	19	301	420
427	19	232	50
428	19	18	420
429	19	228	150
430	19	18	420
431	19	21	335
432	19	38	200
433	19	301	420
434	19	18	420
435	19	21	335
436	19	48	115
437	19	41	95
438	19	301	420
439	19	40	79
440	19	38	200
441	19	40	79
442	19	48	115
443	50	48	115
444	50	48	115
445	50	38	200
446	50	18	420
447	50	18	420
448	50	75	78
449	50	228	150
450	50	38	200
451	50	6	644
452	50	38	200
453	50	18	420
454	50	60	380
455	50	232	50
456	50	228	150
457	50	48	115
458	50	6	644
459	50	60	380
460	50	60	380
461	50	38	200
462	50	232	50
463	50	21	335
464	50	41	95
465	50	18	420
466	50	301	420
467	50	228	150
468	50	228	150
469	50	6	644
470	50	18	420
471	50	21	335
472	50	48	115
473	50	316	114
474	50	301	420
475	50	75	78
476	50	6	644
477	50	228	150
478	50	18	420
479	50	75	78
480	50	60	380
481	50	41	95
482	50	75	78
483	50	228	150
484	50	60	380
485	50	48	115
486	50	316	114
487	50	40	79
488	50	75	78
489	50	228	150
490	50	75	78
491	50	48	115
492	50	6	644
493	50	232	50
494	50	316	114
495	50	41	95
496	50	75	78
497	50	41	95
498	102	228	150
499	102	41	95
500	102	41	95
501	102	75	78
502	102	75	78
503	102	18	420
504	102	301	420
505	102	75	78
506	102	18	420
507	102	41	95
508	102	6	644
509	102	6	644
510	102	75	78
511	102	41	95
512	102	75	78
513	102	228	150
514	102	6	644
515	102	48	115
516	102	60	380
517	102	40	79
518	102	41	95
519	102	40	79
520	102	40	79
521	102	75	78
522	102	40	79
523	27	316	114
524	27	228	150
525	27	21	335
526	27	18	420
527	27	18	420
528	27	75	78
529	27	60	380
530	27	48	115
531	27	232	50
532	27	48	115
533	27	60	380
534	27	60	380
535	27	41	95
536	27	316	114
537	27	75	78
538	27	48	115
539	6	75	78
540	6	75	78
541	6	316	114
542	6	316	114
543	6	75	78
544	6	38	200
545	6	40	79
546	6	40	79
547	6	301	420
548	6	301	420
549	6	301	420
550	6	301	420
551	6	6	644
552	6	228	150
553	6	41	95
554	6	228	150
555	6	75	78
556	6	60	380
557	6	232	50
558	6	75	78
559	6	18	420
560	6	41	95
561	6	232	50
562	6	301	420
563	6	75	78
564	6	41	95
565	6	18	420
566	6	301	420
567	6	40	79
568	6	301	420
569	6	41	95
570	6	40	79
571	6	301	420
572	6	21	335
573	6	18	420
574	6	301	420
575	6	41	95
576	6	41	95
577	6	75	78
578	6	18	420
579	6	6	644
580	6	301	420
581	6	228	150
582	6	6	644
583	6	41	95
584	6	21	335
585	6	232	50
586	6	41	95
587	6	316	114
588	6	228	150
589	6	41	95
590	6	232	50
591	6	21	335
592	6	38	200
593	6	60	380
594	6	21	335
595	6	301	420
596	6	316	114
597	6	228	150
598	6	6	644
599	6	41	95
600	6	38	200
601	6	40	79
602	6	6	644
603	6	48	115
604	6	48	115
605	6	301	420
606	6	232	50
607	12	301	420
608	12	75	78
609	12	75	78
610	12	38	200
611	12	228	150
612	12	6	644
613	12	316	114
614	12	75	78
615	12	232	50
616	12	21	335
617	12	316	114
618	12	301	420
619	12	60	380
620	12	301	420
621	12	228	150
622	12	228	150
623	12	21	335
624	12	75	78
625	12	48	115
626	12	75	78
627	12	228	150
628	12	48	115
629	12	40	79
630	12	18	420
631	12	232	50
632	12	41	95
633	12	60	380
634	12	41	95
635	12	18	420
636	12	41	95
637	12	38	200
